id;name
61e244a1-b222-4b96-9508-0663279e53c2;Wisconsin help-desk port
ab5f59a7-8289-48c9-9c54-a706c564126f;Director
ff3265f0-dc20-4fe8-9cc7-c9f98d33f249;Tools
087c5a8a-1a86-4e29-a136-6666b34ef0ea;Hat Bedfordshire
ed602c93-9640-4dc7-98e1-86d410e452de;Analyst Borders
df1c959f-ad7f-473e-b195-96af032e6a22;pixel Balboa deploy
de8b29a8-0baf-4389-97c9-ded688a541a2;Handcrafted Walk PCI
dc942816-1d80-4a3b-a7b8-aef566f2e464;Program
97ff8366-3a78-47bf-a8f0-816280efe3ac;bypassing
eaf71338-ffc9-40bd-afbd-605eba14d5da;e-services
